name,address,phone_number,url,emails
"Ginsing, LLC","1401 3RD Ave Seattle, WA, 98101-2105 United States",(206) 623-4450,http://www.wildginger.net/,"jason.smith@wildginger.net,info@wildginger.net,mike@thetripledoor.net"
"Dick's Drive-Ins, Ltd., L.P.","4426 2ND Ave NE Seattle, WA, 98105-6191 United States See other locations",(206) 634-0300,http://www.ddir.com/,lissy@ddir.com
Lowell-Hunt Catering Inc,"1111 Fairview Ave N Seattle, WA, 98109-4418 United States See other locations",(206) 264-0400,,
The Starbucks Foundation,"2401 Utah Ave S Ste 800 Seattle, WA, 98134-1435 United States See other locations",(206) 447-1575,http://www.starbucks.com/,
Wing Point Golf & Country Club Inc,"811 Cherry Ave NE Seattle, WA, 98110-3941 United States",(206) 842-7933,http://www.wingpointgolf.com/,"jeffd@wingpointgolf.com,dominicl@wingpointgolf.com,Jeffd@wingpointgolf.com,kayliec@wingpointgolf.com,mattd@wingpointgolf.com,Adhurt1@gmail.com"
"Grand Central Bakery, Inc","21 S Nevada St Seattle, WA, 98134-1121 United States See other locations",(206) 768-0320,http://www.grandcentralbakery.com/,gcbinfo@grandcentralbakery.com
Old Bellevue Delivery Kitchen Inc,"423 E Pike St Seattle, WA, 98122-3615 United States",(206) 652-0877,http://www.pagliacci.com/,
"Heavy Restaurant Group, LLC","120 Lakeside Ave Ste 300 Seattle, WA, 98122-6548 United States See other locations",(206) 838-3852,http://www.heavyrestaurantgroup.com/,"trinah@heavyrestaurantgroup.com,katherineg@heavyrestaurantgroup.com,jobs@heavyrestaurantgroup.com,groupdining@heavyrestaurantgroup.com,info@heavyrestaurantgroup.com,larryk@heavyrestaurantgroup.com,donations@heavyrestaurantgroup.com,kareng@heavyrestaurantgroup.com"
"Cha Tukwila, LLC","16500 Southcenter Pkwy Seattle, WA, 98188-3305 United States",(206) 575-8220,http://www.hilton.com/,
"Edgewater Hotel Associates, LLC","2411 Alaskan Way Pier 67 Seattle, WA, 98121-1313 United States",(206) 728-7000,http://www.edgewaterhotel.com/,"edgeweddings@edgewaterhotel.com,dining@edgewaterhotel.com,Reservations@edgewaterhotel.com,guestservices@edgewaterhotel.com,reservations@edgewaterhotel.com,EdgFrontDesk@edgewaterhotel.com,edgesales@edgewaterhotel.com,edgewater@wagstaffmktg.com,catering@edgewaterhotel.com"
Thompson Hotels LLC,"110 Stewart St Seattle, WA, 98101-1019 United States",(206) 623-4600,http://www.thompsonhotels.com/,
Hotel Employees Restaurant Emp,"2815 2ND Ave Seattle, WA, 98121-3209 United States",(206) 441-7574,,
"Waterfront, LLC","2801 Alaskan Way Seattle, WA, 98121-1134 United States See other locations",(206) 956-9171,http://www.elgaucho.com/,"pkeough@elgaucho.com,kthorne@elgaucho.com,Mocsan@elgaucho.com,rlehn@elgaucho.com,jadams@elgaucho.com,info@elgaucho.com,wtwede@elgaucho.com,alee@elgaucho.com,info@fire-vine.com"
"Happy Guests International, Inc","1936 Harbor Ave SW Seattle, WA, 98126-2031 United States See other locations",(206) 937-1600,http://www.saltys.com/,
Operation Sack Lunch,"210 Alaskan Way S Seattle, WA, 98104-2510 United States",(206) 922-2015,http://www.oslserves.org/,"abid@oslserves.org,info@oslserves.org,jcarolus@oslserves.org,volunteer@oslserves.org,volunteers@oslserves.org,info@mealspartnership.org,20info@oslserves.org,beverly@oslserves.org,INFO@OSLSERVES.ORG"
Starbucks Corporation,"2401 Utah Ave S Ste 800 Seattle, WA, 98134-1435 United States See other locations",(206) 447-1575,http://www.starbucks.com/,
"Salty's On Alki, Inc.","1936 Harbor Ave SW Seattle, WA, 98126-2031 United States See other locations",(206) 923-5420,http://www.saltys.com/,
Elliott Bay Brewing Company,"4720 California Ave SW Seattle, WA, 98116-4413 United States",(206) 246-4211,http://www.elliottbaybrewing.com/,
"Great Western Pacific, Inc.","1301 Alaskan Way Pier 57 Seattle, WA, 98101-2057 United States",(206) 624-5673,,
South Sound Red Robin Inc,"6840 Fort Dent Way Ste 350 Seattle, WA, 98188-8512 United States See other locations",(206) 243-4911,http://www.redrobin.com/,
"Starbucks Coffee International, Inc.","2401 Utah Ave S Ste 800 Seattle, WA, 98134-1435 United States See other locations",(206) 447-1575,http://www.starbucks.com/,
Pacific Science Center Foundation,"200 2ND Ave N Seattle, WA, 98109-4895 United States",(206) 443-2001,,
"Mayflower Park Hotel, Inc.","405 Olive Way Seattle, WA, 98101-1149 United States See other locations",(206) 623-8700,http://www.mayflowerpark.com/,mayflowerpark@mayflowerpark.com
El Gaucho Seattle LLC,"2505 1ST Ave Seattle, WA, 98121-1302 United States See other locations",(206) 728-1337,http://www.elgaucho.com/,"wtwede@elgaucho.com,pkeough@elgaucho.com,alee@elgaucho.com,info@fire-vine.com,rlehn@elgaucho.com,Mocsan@elgaucho.com,info@elgaucho.com,jadams@elgaucho.com,kthorne@elgaucho.com"
Goldies Shoreline Casino LLC,"15030 Aurora Ave N Seattle, WA, 98133-6122 United States",(206) 440-8754,http://www.goldiescasino.com/,
Baffetto Inc.,"423 E Pike St Seattle, WA, 98122-3615 United States See other locations",(206) 652-0877,,
Warwick Corp,"401 Lenora St Seattle, WA, 98121-2515 United States",(206) 443-4300,http://www.warwickhotels.com/,"mroha@martinshotels.com,makeen@warwickhotels.com,Accessibility@warwickhotels.com,reservations.alkhobar@warwickhotels.com,info.dallas@warwickhotels.com,development@warwickhotels.com,reservation.mist@warwickhotels.com,info.wpib@warwickhotels.com,info.sf@warwickhotels.com,reservations.capital@warwickhotels.com,reservation@hotelaubrecht.pl,info.riyadh@warwickhotels.com,whrsalesus@warwickhotels.com,info.celebrity@warwickhotels.com,ssausse@warwickhotels.com,info.warwickdohahotel@warwickhotels.com,reservations.salsabil@warwickhotels.com,info.chicago@warwickhotels.com,whrsales@warwickhotels.com,whrsalessp@warwickhotels.com,info.ny@warwickhotels.com,info.palmbeach@warwickhotels.com,navitireservations@warwickhotels.com,res.wpib@warwickhotels.com,info.warwickbrussels@warwickhotels.com,sales.warwickbrussels@warwickhotels.com,info.warwickstone55@warwickhotels.com,groupbookings@warwickhotels.com,info.grandhotel@warwickhotels.com,info.lyon@warwickhotels.com,privacy@warwickhotels.com,T.Oakes@KTCpr.com,info.hoteldesthermes@warwickhotels.com,info@rembrandtbkk.com,info.dabab@warwickhotels.com,cdl@martinshotels.com,info.warwickbarsey@warwickhotels.com,res.tambuasands@warwickhotels.com,info.patershof@warwickhotels.com,info.denver@warwickhotels.com,warwickjourneys@warwickhotels.com,sales@rali.co.za,info@splendid-nice.com,info.centralplaza@warwickhotels.com,info@luxurysuitesamsterdam.com,info.westminster@warwickhotels.com,info.alhamra-palace@warwickhotels.com,info.savana@warwickhotels.com,info.rocefiori@warwickhotels.com,whrsalesmena@warwickhotels.com,bestrate@warwickhotels.com,res.tokatoka@warwickhotels.com,info.nwd@warwickhotels.com,info.seattle@warwickhotels.com,info.ankara@warwickhotels.com,info.fiji@warwickhotels.com,info.stratohotel@warwickhotels.com,info.whparis@warwickhotels.com,info.ibah@warwickhotels.com,info.lelagon@warwickhotels.com,info.geneva@warwickhotels.com"
"H. E. G. Enterprises, Inc.","1301 Alaskan Way Seattle, WA, 98101-2013 United States See other locations",(206) 623-8600,http://www.thefishermans.com/,
"Tommy Bahama R&R Holdings, Inc.","400 Fairview Ave N Ste 488 Seattle, WA, 98109-5371 United States See other locations",(206) 905-5713,http://www.tommybahama.com/,"accessibility@tommybahama.com,guestservices@tommybahama.com,internationalGS@tommybahama.com,privacy@tommybahama.com,orkans@gmail.com,recruiter@tommybahama.com,TommyBahamaEvents@tommybahama.com,TommyBahamaEvents@TommyBahama.com"
"Allrecipes.com, Inc.","413 Pine St Ste 500 Seattle, WA, 98101-3669 United States See other locations",(206) 292-3990,http://www.allrecipes.com/,"yourname@example.com,becki@c-zone.net"
Pike Brewing Company,"1415 1ST Ave Seattle, WA, 98101-2017 United States",(206) 622-6044,http://www.pikebrewing.com/,"dgillespie@pikebreiwng.com,MBeach@PikeBewing.com,info@pikebrewing.com"
"Ray's Boat House, Inc","6049 Seaview Ave NW Seattle, WA, 98107-2690 United States",(206) 789-4130,http://www.rays.com/,"reserve@rays.com,rayscatering@rays.com,rays@rays.com"
Zeek's Pizza Inc,"419 Denny Way Seattle, WA, 98109-4489 United States See other locations",(206) 374-0775,http://www.zeekspizza.com/,
Pallino Pastaria Co,"17801 International Blvd Seattle, WA, 98158-1202 United States See other locations",(206) 444-4796,http://www.pallino.com/,"seatac@pallino.com,jobs@pallino.com"
JPK Corporation,"501 2ND Ave W Ste 200 Seattle, WA, 98119-3983 United States See other locations",(206) 634-1356,,
Broadmoor Golf Club,"2340 Broadmoor Dr E Seattle, WA, 98112-2399 United States",(206) 325-6482,http://www.broadmoorgolfclub.com/,
"Kremeworks Washington, LLC","1910 1ST Ave S Seattle, WA, 98134-1474 United States See other locations",(206) 625-1554,http://www.krispykreme.com/,
"Mackay Restaurant Management Group, Inc.","10 Harrison St Ste 311 Seattle, WA, 98109-4509 United States See other locations",(206) 352-1450,http://www.elgaucho.com/,
Malone-Mc Caw Partnership,"900 Madison St Seattle, WA, 98104-1234 United States",(206) 622-6400,http://www.hotelsorrento.com/,
"Es Restaurant Group, Inc.","2622 NW Market St Ste A Seattle, WA, 98107-4106 United States",(206) 588-0030,http://www.ethanstowellrestaurants.com/,"events@ethanstowellrestaurants.com,cafe@cortinaseattle.com,sennen@esrseattle.com,events@esrhospitality.com,240-8231sennen@esrseattle.com,422-3176hello@southcotedigital.com,hello@southcotedigital.com,sennen@ethanstowellrestaurants.com,info@ethanstowellrestuarants.com,rewardsclub@esrhospitality.com,info@ethanstowellrestaurants.com"
Duke's Chowder House Inc.,"901 Fairview Ave N Seattle, WA, 98109-4453 United States See other locations",(206) 382-9963,http://www.dukesseafood.com/,"hayley@dukesseafood.com,jeff@dukesseafood.com,derek@dukesseafood.com,jason@dukesseafood.com,chris@dukesseafood.com,jackie@dukesseafood.com,perri@dukesseafood.com"
"Elysian Brewing Company, Inc.","6010 Airport Way S Seattle, WA, 98108-2716 United States See other locations",(206) 860-3977,http://www.elysianbrewing.com/,"crg@anheuser-busch.com,trademarks@anheuser-busch.com"
"Consolidated Restaurants, Inc.","814 2ND Ave Ste 300 Seattle, WA, 98104-1529 United States See other locations",(206) 232-9292,http://www.e3restaurantgroup.com/,
"Douglas-Cross Enterprises, Inc.","5118 14TH Ave NW Seattle, WA, 98107-5115 United States",(206) 448-2001,http://www.tomdouglas.com/,"amyr@tomdouglas.com,amyr@tomdouglas.co,hr@tomdouglas.com,hotstove@tomdouglas.com,orders@tomdouglas.com,hotstoveradio@tomdouglas.com,office@tomdouglas.com,rubwithlove@tomdouglas.com,20orders@tomdouglas.com,dahliabakery@tomdouglas.com"
"Caffe' Appassionato, Inc.","4001 21ST Ave W Seattle, WA, 98199-1201 United States See other locations",(206) 281-8040,http://www.caffeappassionato.com/,"orders@caffeappassionato.com,filler@godaddy.com"
Seattle Coffee Company,"2401 Utah Ave S Ste 1 Seattle, WA, 98134-1498 United States See other locations",(206) 447-7950,http://www.seattlesbest.com/,"customercare@seattlesbest.com,98124-88911-800-611-7793sbccustomercare@seattlesbest.comPlease,seattlesbestcoffee@casupport.com"
"Kabo Investments, LLC","4034 31ST Ave W Seattle, WA, 98199-1716 United States See other locations",(206) 286-3168,http://www.dennys.com/,
13 Coins Inc,"2107 Elliott Ave Ste 304 Seattle, WA, 98121-2159 United States See other locations",(206) 382-1313,http://www.13coins.com/,
Space Needle Holding Corporation,"1050 W Ewing St Seattle, WA, 98119-1422 United States See other locations",(206) 905-2217,http://www.spaceneedle.com/,"info@spaceneedle.com,INFO@SPACENEEDLE.COM"
Canlis Inc,"2576 Aurora Ave N Seattle, WA, 98109-2299 United States",(206) 283-3313,http://www.canlis.com/,reservations@canlis.com
Cactus Restaurant Inc,"4220 E Madison St Seattle, WA, 98112-3237 United States See other locations",(206) 324-4140,http://www.cactusrestaurants.com/,
"Rainier Hospitality, LLC","211 Dexter Ave N Seattle, WA, 98109-5105 United States",(206) 728-8123,http://www.holidayinn.com/,
Poquitos LLC,"1000 E Pike St Seattle, WA, 98122-3819 United States",(206) 453-4216,http://www.vivapoquitos.com/,info@vivapoquitos.com
